trial,SB,sample_size
0,bSB,1102500
1,bSB,1785000
2,bSB,1417500
3,bSB,2992500
4,bSB,1207500
5,bSB,1995000
6,bSB,1575000
7,bSB,1312500
8,bSB,840000
9,bSB,1942500
10,bSB,3202500
11,bSB,1417500
12,bSB,1785000
13,bSB,2467500
14,bSB,1522500
15,bSB,1470000
16,bSB,1470000
17,bSB,1207500
18,bSB,1102500
19,bSB,2047500
20,bSB,2100000
21,bSB,1417500
22,bSB,892500
23,bSB,3045000
24,bSB,1417500
25,bSB,997500
26,bSB,1417500
27,bSB,3570000
28,bSB,1942500
29,bSB,1627500
30,bSB,1102500
31,bSB,1312500
32,bSB,1050000
33,bSB,1102500
34,bSB,5250000
35,bSB,1417500
36,bSB,1155000
37,bSB,735000
38,bSB,1627500
39,bSB,1102500
40,bSB,1837500
41,bSB,1522500
42,bSB,1522500
43,bSB,1732500
44,bSB,1260000
45,bSB,1050000
46,bSB,2205000
47,bSB,1627500
48,bSB,1732500
49,bSB,1312500
50,bSB,1942500
51,bSB,2362500
52,bSB,1155000
53,bSB,3360000
54,bSB,3570000
55,bSB,1522500
56,bSB,1312500
57,bSB,1575000
58,bSB,1312500
59,bSB,1312500
60,bSB,945000
61,bSB,1207500
62,bSB,892500
63,bSB,1050000
64,bSB,2152500
65,bSB,1417500
66,bSB,1627500
67,bSB,1417500
68,bSB,1627500
69,bSB,1050000
70,bSB,1522500
71,bSB,4410000
72,bSB,1942500
73,bSB,1155000
74,bSB,2152500
75,bSB,997500
76,bSB,1365000
77,bSB,2467500
78,bSB,1050000
79,bSB,1365000
80,bSB,2730000
81,bSB,1155000
82,bSB,1050000
83,bSB,2362500
84,bSB,1522500
85,bSB,1417500
86,bSB,1575000
87,bSB,787500
88,bSB,2100000
89,bSB,1050000
90,bSB,1575000
91,bSB,1470000
92,bSB,1365000
93,bSB,1680000
94,bSB,1575000
95,bSB,1627500
96,bSB,1050000
97,bSB,2572500
98,bSB,1050000
99,bSB,1837500
0,dSB,1522500
1,dSB,1050000
2,dSB,787500
3,dSB,945000
4,dSB,787500
5,dSB,945000
6,dSB,840000
7,dSB,1365000
8,dSB,1050000
9,dSB,892500
10,dSB,1785000
11,dSB,997500
12,dSB,1207500
13,dSB,840000
14,dSB,1365000
15,dSB,1470000
16,dSB,1837500
17,dSB,892500
18,dSB,945000
19,dSB,1365000
20,dSB,1837500
21,dSB,1312500
22,dSB,945000
23,dSB,997500
24,dSB,787500
25,dSB,1155000
26,dSB,1102500
27,dSB,787500
28,dSB,945000
29,dSB,1207500
30,dSB,945000
31,dSB,735000
32,dSB,1207500
33,dSB,840000
34,dSB,1785000
35,dSB,1522500
36,dSB,1050000
37,dSB,1365000
38,dSB,1050000
39,dSB,1102500
40,dSB,1050000
41,dSB,1155000
42,dSB,1050000
43,dSB,997500
44,dSB,1207500
45,dSB,945000
46,dSB,997500
47,dSB,945000
48,dSB,1312500
49,dSB,997500
50,dSB,997500
51,dSB,892500
52,dSB,787500
53,dSB,577500
54,dSB,1050000
55,dSB,945000
56,dSB,945000
57,dSB,1102500
58,dSB,1680000
59,dSB,787500
60,dSB,735000
61,dSB,945000
62,dSB,840000
63,dSB,840000
64,dSB,892500
65,dSB,1102500
66,dSB,1050000
67,dSB,1207500
68,dSB,787500
69,dSB,840000
70,dSB,1050000
71,dSB,682500
72,dSB,787500
73,dSB,1312500
74,dSB,892500
75,dSB,630000
76,dSB,2047500
77,dSB,997500
78,dSB,787500
79,dSB,997500
80,dSB,1417500
81,dSB,997500
82,dSB,1102500
83,dSB,1207500
84,dSB,840000
85,dSB,945000
86,dSB,682500
87,dSB,1365000
88,dSB,682500
89,dSB,1102500
90,dSB,4410000
91,dSB,2152500
92,dSB,892500
93,dSB,945000
94,dSB,1312500
95,dSB,840000
96,dSB,1207500
97,dSB,787500
98,dSB,787500
99,dSB,892500
